Date,Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2000-04-30,Colombia,0.0,0.0,0.0,0.0,0.0,,,,,
2001-04-30,Colombia,0.0,0.0,0.0,0.0,0.0,,,,,
2002-04-30,Colombia,0.0,0.0,0.0,0.0,0.0,,,,,
2003-04-30,Colombia,0.0,0.0,0.0,0.0,0.0,,,,,
2004-05-31,Colombia,6500.0,2769.83,2.3467144192965,2241.3793103448,-19.078813127707,,,,,
2005-06-30,Colombia,6500.0,2327.7,2.7924560725179,2124.1830065359,-8.743265603989,,,,,
2006-01-31,Colombia,0.0,0.0,0.0,0.0,0.0,,,,,
2006-05-31,Colombia,6500.0,2503.6,2.5962613836076,2096.7741935484,-16.249632786851,,,,,
2007-01-31,Colombia,6900.0,2239.325,3.0812856552756,2142.8571428571,-4.3078989044849,,,,,
2007-06-30,Colombia,6900.0,1956.0,3.5276073619632,2023.4604105572,3.4488962452548,,,,,
2008-06-30,Colombia,7000.0,1798.65,3.8918077446974,1960.7843137255,9.0142225405438,,,,,
2009-07-31,Colombia,7000.0,2095.6,3.3403321244512,1960.7843137255,-6.4332738248955,,,,,
2010-01-31,Colombia,8200.0,2095.6,3.9129604886429,2296.918767507,9.606736376551,,,,,
2010-07-31,Colombia,8200.0,1868.45,4.3886644009741,2196.4285714286,17.553510740377,,,,,
2011-07-31,Colombia,8400.0,1770.5,4.7444224795256,2066.4206642066,16.71396013593,107.88870176163,52.514245897763,91.224460039534,97.071216250446,101.20297029649
2012-01-31,Colombia,8400.0,1852.15,4.5352698215587,2001.32468634,8.0541363464085,79.664568262414,53.098533052703,75.831212539095,73.401853979542,80.305921058885
2012-07-31,Colombia,8600.0,1804.475,4.7659291483673,1987.2905834778,10.131233931075,77.858365074667,60.1609931713,65.746265396149,80.342200594051,89.032966315709
2013-01-31,Colombia,8600.0,1773.175,4.850057100963,1969.136833067,11.051466046329,76.319968611657,46.248980590523,65.774106920002,114.30365268782,83.993145863937
2013-07-31,Colombia,8600.0,1921.0,4.4768349817803,1887.3445501097,-1.7519755278642,56.608170839046,41.812570174292,62.237706196372,118.27589635087,67.433878695252
2014-01-31,Colombia,8600.0,1982.795,4.3373117241066,1859.7945575779,-6.2033867556685,55.66615802959,33.613083155652,41.299771511072,136.32085787244,53.814707913439
2014-07-31,Colombia,8600.0,1847.65,4.6545611993614,1793.5349322211,-2.9288592416819,55.708705658468,31.507130350633,35.018560836698,95.749772968475,66.334966191201
2015-01-31,Colombia,7900.0,2364.98,3.3404087983831,1649.2693110647,-30.262864334383,12.725945560262,11.218223527506,9.3231836555266,50.678916589684,18.860705886389
2015-07-31,Colombia,7900.0,2708.9,2.9163128945328,1649.2693110647,-39.116641032717,-3.9913829607263,0.44464249143989,-5.2538826361242,31.914930810213,5.874623792397
2016-01-31,Colombia,7900.0,3253.9,2.4278558038047,1602.4340770791,-50.753431971508,-18.484702555078,-11.815070819632,-11.822571989433,8.9305248032778,-9.9870881991354
2016-07-31,Colombia,8900.0,2929.0,3.038579720041,1765.873015873,-39.710719840457,2.4146031703972,0.73864496870957,17.958383554806,20.165040371263,12.017162805489
2017-01-31,Colombia,9900.0,2994.625,3.3059231122428,1956.5217391304,-34.665551141447,12.273956394024,14.389762480107,36.954125477249,40.216383077375,20.048587869701
2017-07-31,Colombia,9900.0,3052.16,3.2436045292514,1867.9245283019,-38.799914542426,3.7999199334577,2.2423073604333,20.593247319483,40.997912987308,14.78373113824
2018-01-31,Colombia,10900.0,2844.12,3.8324683909258,2064.3939393939,-27.41537138398,25.681210585461,12.143807677903,28.84507943642,63.839309729039,24.812086726945
2018-07-31,Colombia,11900.0,2874.07,4.1404697867484,2159.7096188748,-24.9,33.3,26.8,45.5,73.4,38.4
2019-01-31,Colombia,11900.0,3191.5,3.7286542378192,2132.6164874552,-33.2,21.5,18.4,38.4,54.6,26.4
2019-07-31,Colombia,11900.0,3227.0,3.6876355748373,2073.1707317073,-35.8,9.9,13.9,30.1,46.5,24.7
2020-01-31,Colombia,11900.0,3287.625,3.61963423443976,2098.7654320987685,-36.162,10.2,13.3,20.200000000000003,45.2,20.3
2020-07-31,Colombia,11900.0,3617.01,3.2900102570908,2084.063047285463,-42.382,3.4000000000000004,1.4000000000000001,16.0,32.300000000000004,10.6
2021-01-31,Colombia,12950.0,3460.5,3.74223378124549,2287.985865724385,-33.900000000000006,16.400000000000002,3.3000000000000003,23.5,43.8,13.600000000000001
2021-07-31,Colombia,12950.0,3842.11,3.37054378974053,2292.0353982300862,-40.344,3.4549999999999996,-5.251,2.408,36.819,3.846
2022-01-31,Colombia,12950.0,3941.995,3.2851386163605,2228.915662650604,-43.457,-4.801,-8.027,-3.6380000000000003,36.777,-9.124
